"interest_id","category","mobi_feature","travelogue_feature","mobi_sub_feature","travelogue_mobi_sub_feature","source"
1801071420,EXPERIENCE,Museums,,Specialty Museums,,Types
542586000,EXPERIENCE,Museums,,Art Museums,,Types
1787053506,EXPERIENCE,Museums,,History Museums,,Types
570447158,EXPERIENCE,Museums,,Science Museums,,Types
450717366,EXPERIENCE,Museums,,Military Museums,,Types
900757444,EXPERIENCE,Museums,,Children's Museums,,Types
1043728209,EXPERIENCE,Museums,,Natural History Museums,,Types
1983778979,EXPERIENCE,Museums,,Observatories & Planetariums,,Types
2082303049,EXPERIENCE,Nightlife,,Wine Bars,,Types
266436058,EXPERIENCE,Nightlife,,Coffeehouses,,Types
924650796,EXPERIENCE,Nightlife,,Dance Clubs & Discos,,Types
2061180592,EXPERIENCE,Nightlife,,Cigar Bars,,Types
703737797,EXPERIENCE,Nightlife,,Jazz Clubs & Bars,,Types
1235243985,EXPERIENCE,Outdoors,,Sports Camps & Clinics,,Types
768826509,EXPERIENCE,Outdoors,,Equestrian Trails,,Types
191893893,EXPERIENCE,Adventure,,Kayaking & Canoeing,,Types
1157983359,EXPERIENCE,Outdoors,,Kayaking & Canoeing,,Types
1767522070,EXPERIENCE,Nightlife,,Comedy Clubs,,Types
1883712616,EXPERIENCE,Tours,,"Bar, Club & Pub Tours",,Types
234703030,EXPERIENCE,Nightlife,,"Bar, Club & Pub Tours",,Types
1939691973,EXPERIENCE,Nightlife,,Karaoke Bars,,Types
812607760,EXPERIENCE,Nightlife,,Country & Western Bars,,Types
1084783276,EXPERIENCE,Nightlife,,Blues Clubs & Bars,,Types
363877171,EXPERIENCE,Shopping,,Gift & Specialty Shops,,Types
925129949,EXPERIENCE,Shopping,,Art Galleries,,Types
37252489,EXPERIENCE,Shopping,,Shopping Malls,,Types
694058303,EXPERIENCE,Shopping,,Antique Stores,,Types
1130106542,EXPERIENCE,Shopping,,Shopping Tours,,Types
636690320,EXPERIENCE,Shopping,,Flea & Street Markets,,Types
1354968844,EXPERIENCE,Shopping,,Farmers Markets,,Types
662915178,EXPERIENCE,Shopping,,Department Stores,,Types
379148550,EXPERIENCE,Shopping,,Factory Outlets,,Types
1293511350,EXPERIENCE,Shopping,,Fashion Shows & Tours,,Types
2131126223,EXPERIENCE,Wellness,,Spas,,Types
1508312137,EXPERIENCE,Tours,,Boat Tours,,Types
1044906623,EXPERIENCE,Tours,,"4WD, ATV & Off-Road Tours",,Types
995325794,EXPERIENCE,Adventure,,"4WD, ATV & Off-Road Tours",,Types
686966806,EXPERIENCE,Outdoors,,"4WD, ATV & Off-Road Tours",,Types
1507664797,EXPERIENCE,Tours,,"Vespa, Scooter & Moped Tours",,Types
330644795,EXPERIENCE,Tours,,"Literary, Art & Music Tours",,Types
1863402886,EXPERIENCE,Activities,,Food and Drinks,,
326526760,EXPERIENCE,Activities,,Fireworks,,
1427330617,EXPERIENCE,Adventure,,Sky diving,,
571045820,EXPERIENCE,Activities,,Sky diving,,
2060392161,EXPERIENCE,Activities,,Rock climbing,,
499655052,EXPERIENCE,Activities,,Dancing,,
969814072,EXPERIENCE,Activities,,Biking,,
1981236588,EXPERIENCE,Adventure,,Cross-country Ski Areas,,
1895776073,EXPERIENCE,Outdoors,,Cross-country Ski Areas,,
1261371440,EXPERIENCE,Adventure,,Shark Diving,,
1192496796,EXPERIENCE,Outdoors,,Ski & Snow Tours,,Types
1649113700,EXPERIENCE,History and Culture,,Points of Interest & Landmarks,,Types
548539161,EXPERIENCE,History and Culture,,Churches & Cathedrals,,Types
1351619723,EXPERIENCE,History and Culture,,Historic Sites,,Types
1989813347,EXPERIENCE,History and Culture,,Sacred & Religious Sites,,Types
574895601,EXPERIENCE,History and Culture,,Architectural Buildings,,Types
355223199,EXPERIENCE,History and Culture,,Monuments & Statues,,Types
1196054056,EXPERIENCE,History and Culture,,Cemeteries,,Types
1651271677,EXPERIENCE,History and Culture,,Historic Walking Areas,,Types
1413443714,EXPERIENCE,History and Culture,,Farms,,Types
1806762003,EXPERIENCE,History and Culture,,Educational sites,,Types
958013817,EXPERIENCE,History and Culture,,Observation Decks & Towers,,Types
732377623,EXPERIENCE,History and Culture,,Government Buildings,,Types
1333937126,EXPERIENCE,History and Culture,,Civic Centers,,Types
2095534961,EXPERIENCE,History and Culture,,Ancient Ruins,,Types
1349082123,EXPERIENCE,History and Culture,,Fountains,,Types
1967353304,EXPERIENCE,History and Culture,,Bridges,,Types
608009581,EXPERIENCE,History and Culture,,Castles,,Types
819203838,EXPERIENCE,History and Culture,,Piers & Boardwalks,,Types
1213210416,EXPERIENCE,History and Culture,,Scenic Drives,,Types
891891612,EXPERIENCE,History and Culture,,Universities & Schools,,Types
628897800,EXPERIENCE,History and Culture,,Lighthouses,,Types
1619282292,EXPERIENCE,History and Culture,,Mysterious Sites,,Types
2056411554,EXPERIENCE,History and Culture,,Ships,,Types
1657170454,EXPERIENCE,History and Culture,,Military Bases & Facilities,,Types
21302199,EXPERIENCE,History and Culture,,Missions,,Types
968439219,EXPERIENCE,History and Culture,,Ghost Towns,,Types
675960479,EXPERIENCE,History and Culture,,Neighborhoods,,Types
196895551,EXPERIENCE,Nightlife,,Bars & Clubs,,Types
1775857697,EXPERIENCE,Wellness,,Yoga & Pilates,,Types
1152319633,EXPERIENCE,Wellness,,Health/Fitness Clubs & Gyms,,Types
2132161205,EXPERIENCE,Wellness,,Hammams & Turkish Baths,,Types
12587484,EXPERIENCE,Wellness,,Thermal Spas,,Types
44114472,EXPERIENCE,Wellness,,Onsen Resorts,,Types
891251979,EXPERIENCE,Tours,,Private Tours,,Types
1883733596,EXPERIENCE,Tours,,Cultural Tours,,Types
1023811390,EXPERIENCE,Tours,,Day Trips,,Types
98773068,EXPERIENCE,Tours,,Historical & Heritage Tours,,Types
2070886616,EXPERIENCE,Tours,,Nature & Wildlife Tours,,Types
2068072748,EXPERIENCE,Tours,,Multi-day Tours,,Types
1218730562,EXPERIENCE,Tours,,Food Tours,,Types
1052535506,EXPERIENCE,Tours,,Night Tours,,Types
1024162598,EXPERIENCE,Tours,,Sightseeing Tours,,Types
108030321,EXPERIENCE,Outdoors,,Jogging,,
967711610,EXPERIENCE,Adventure,,Hiking,,
397244932,EXPERIENCE,Outdoors,,Hiking,,
148181476,EXPERIENCE,History and Culture,,Lookouts,,
1815378566,EXPERIENCE,History and Culture,,Ranches,,
2107380757,EXPERIENCE,History and Culture,,Auto Race Tracks,,
1933583491,EXPERIENCE,History and Culture,,Battlefields,,
236000776,ACCOMMODATION,Accommodations,,Guest House,,
633235889,EXPERIENCE,Fun and Games,,Escape room,Escape the Room,
805380573,EXPERIENCE,Fun and Games,,Room Escape Games,Escape the Room,Types
1194275115,EXPERIENCE,Parks,,Zoos,,Types
1136923895,EXPERIENCE,Tours,,Photography Tours,,Types
1015883105,EXPERIENCE,Tours,,Eco Tours,,Types
1183790483,EXPERIENCE,Tours,,Bike Tours,,Types
66471675,EXPERIENCE,Tours,,Walking Tours,,Types
1019750751,EXPERIENCE,Tours,,Archaeology Tours,,Types
1123826125,EXPERIENCE,Tours,,Hiking & Camping Tours,,Types
1196182073,EXPERIENCE,Tours,,Bus Tours,,Types
1310481067,EXPERIENCE,Tours,,Adrenaline & Extreme Tours,,Types
1973229016,EXPERIENCE,Tours,,Speed Boats Tours,,Types
1823352342,EXPERIENCE,Tours,,Coffee & Tea Tours,,Types
2113473116,EXPERIENCE,Fun and Games,,Dog Tracks,,
2039559842,EXPERIENCE,Tours,,Self-Guided Tours & Rentals,,Types
144656178,EXPERIENCE,Tours,,Beer Tastings & Tours,,Types
775057029,EXPERIENCE,Tours,,Helicopter Tours,,Types
1960578987,EXPERIENCE,Tours,,Running Tours,,Types
1081752031,EXPERIENCE,Tours,,Segway Tours,,Types
1541163663,EXPERIENCE,Tours,,Duck Tours,,Types
89283453,EXPERIENCE,Tours,,Ghost & Vampire Tours,,Types
18312163,EXPERIENCE,Tours,,Surfing,,Types
1386218756,EXPERIENCE,Tours,,Stand-Up Paddleboarding,,Types
1949046264,EXPERIENCE,Tours,,Vespa,,Types
1157714026,EXPERIENCE,Tours,,Literary,,Types
1620144524,EXPERIENCE,Tours,,Scenic Railroads,,Types
